comment,level-1,level-2,level-3,Language_Category,
HINDI people  are highly arrogant --  if they  do not know  let them say -- I will start learning Marati --   People should learn  local language -- It is a must --  If you are  visitor it is ok --  If is you stay in that  place for  more than 6 month -  showing interest  in learning local language is a must,1,2,North-India,English,
I never thought Maharastrians are so narrow minded.,1,2,Maharashtra,English,
"Marathis, Kannadigas dono ne desh ka naam duba diya",1,2,"Maharashtra, Karnataka",Code-Mixed,Hinglish
Some Marathis are too much.... Tooo much ego.... All such regional egos need to be left behind if India is to b come one and prosper.... Same issue in many states in India.. But it is lot in Maharashtra...,1,2,Maharashtra,English,
"This Maharashtrian community has nothing else to gloat about, the last resort is to ask people to speak in their language, not considering whether one knows it or not. Finally resorting to physical abuse. Thats the end of the matter. When marathi for whatever it is stands no respect or of use anyplace in this entire nation except in its own state. Tell me how many states apart from maharashtra know the language. Also the script is a major part of hindi in the script also.",1,2,Maharashtra,English,
Time bahut hai maharashtrian ke paas. Kaam nahi hai na. Punjab mei inki aisi taisi kardo punjabi nahi aati to. Tamil naadu mei to bhagado. In short har state ka visa bana do 😂. Thank God US mei har state mei english hi hai. Because yaha anpad nahi rehte 😂,1,2,Maharashtra,Code-Mixed,Hinglish
Kannada walon se complete kar rhe😂,0,0,,Transliterated,
Lagegi aag to aayenge kai ghar jard me Yahaan Sirf mera hi makan thodi he......,0,0,,Transliterated,
So many varieties of problems in India.  Biggest problem is no punishment for harassment and law order situation.,0,0,,English,
Marathiisss have nothing to do...poor guys language is the only agenda in their life,1,1,Maharashtra,English,
Marathi mera 💩💩💩💩🤬😡🤮🤧,1,1,Maharashtra,English,
"If you migrate in any other state, it's your prime responsibility to atleast learn that state's official language's few words or sentences. If you say that we have freedom to do anything. Then I will also speak in Marathi only in Maharashtra, I don't give a shit if the other person doesn't understand because I also have freedom to speak any language. Why should I leave my mother tongue aside and speak in foreign languages like Hindi? If outsiders speak migrated state's offical language, then it will foster a sense of brotherhood among both the sides, and which will contribute to development of India.",0,0,,English,
Jisko jo bolna hai wo wahi bolega kisi ko bhi ham force nahi kar sakte hai ye chitiya panti band karo aabhi ye sab bore hone laga hai,0,0,,Transliterated,
"Dekho agar aap abhi abhi maharashtra aye ho to thik he me samajta hu par ek baat bata du agar aap permanent maharashtra rehne wale he to waha ki local language to ani chahiye par ye cheez andar se aani chahiye kisiko aise force karna ki yaha ki language sikho to wo sahi nahi he, ha agar aap kuchhi dino ke liye aye is state me to thik he me samajta hu",0,0,,Code-Mixed,Hinglish
Unemployment at its peak,0,0,,English,
Bloody uneducated gawar villager demanding educated people follow his marathi diktat.,0,0,,Code-Mixed,Hinglish
Its sad. The youth is on wrong track,0,0,,Transliterated,
Good job uncle,0,0,,Transliterated,
"well well, the war has Begun, good luck india.",0,0,,Transliterated,
500 rs day ka milta hai bhai ye bakchodi krne k liye 😂 #majdurr #berojgarYuva,0,0,,Code-Mixed,Hinglish
"Hindi language indian first language hai, but marathi kannada telgu malyalam kokni etc sabhi language are staty language, kisi ko bharst me rahna hai to sabhi ko hindi ana zaroori hai, kisi ko zabardasti nahi kar sakte, galat baat hai,",0,0,,Code-Mixed,Hinglish
Sab bjp ki den hai.,0,0,,Code-Mixed,Hinglish
Is Marathi a part of the national language of India?,0,0,,Transliterated,
These narrow minded people Spoil the reputation of our country... idiots...,0,0,,Transliterated,
EKTA me ANEKTA,0,0,,Code-Mixed,Hinglish
Ridiculousness that Maharashtra is heading towards.,0,0,,Transliterated,
Feel proud about tamilian ...we are so polite compared to north..,1,1,North-India,English,
"Indian regional and cast policy at its peak: blue, black, white, Marathi, Hindi, and many more.",0,0,,English,
"""Total barbaric states display a range of cast colors and lawlessness on the mother tongue..Agar koi marathi north me phas gaya to kya hoga..",0,0,,Code-Mixed,Hinglish
Foreigners ko english bolke talwe chat te hain..apne logon ko majha marathi dikhate hain..pathetic hypocrats,0,0,,Code-Mixed,Hinglish
UP BIHAR ka kachara hakalo,1,2,"Uttar Pradesh, Bihar",Transliterated,
"Indians often face racism not only in Western countries but also within their own country. Sadly, discrimination comes both from outsiders and fellow Indians. Whether living abroad or at home, many Indians constantly struggle for basic respect and dignity, often due to narrow minded attitudes.",0,0,,English,
Jaise jaise south movie karo ge ye Natak inka chalu suru ho jata hai inka.,0,0,,Code-Mixed,Hinglish
Koi police in ko pakde gi kya,0,0,,Code-Mixed,Hinglish
Education is indeed important.,0,0,,English,
Aab paise Wale log phas gaye 😂😂😂,0,0,,Transliterated,
This is shame on India,0,0,,English,
Dadagiri hay इनलोगों ki देश aazad hay sab ko jail me dalo,0,0,,Transliterated,
North Indians should learn Marathi if they come in Maharashtra or else North Indians should leave Maharashtra.,0,0,,English,
North Indian do not accept Bharat has diverse Culture...and call themselves...Hindus....they want hindi in all states.....Senseless North Indian want benefits ...and destroy other Culture bcoz of such intentions...Hinduism was destroyed in North first nd survived in South....Strange part...all North Indian Hindu nd Muslims are now United in Mumbai,1,2,North-India,English,
Respect the language of the land and politely agree you don’t know instead of retorting to violence against locals. That’s the way  Integrate or perish. Kannadigas will show the way forward 💛❤,0,0,,English,
In democratic India you can not force to anyone to speak marathi. It should be choice. If any one forced then it is against the law.,0,0,,English,
nahi bana sakta,0,0,,Transliterated,
"WHY ? WHY ? For God's Sake !!  Both Marathi & Hindi have the same roots.  Different parts of India, have evolved different versions of the same Devnagri script - with different pronounciations. How such TIME PASS people have started making BIG ISSUES out of it lately !!!   Sometimes I think these guys have a hidden agenda to drive a wedge between people !!",0,0,,Code-Mixed,Hinglish
Akhand bharat ke chakkar me bhart bhi tootane laga,0,0,,Transliterated,
Agar marathi lod apni betiyon ki shadi up bihar walon se kare to o marathi bolne lagenge😂😂😂😂,0,0,,Transliterated,
You cannot  force anyone to speak any language,0,0,,Transliterated,
Kitni bekari hai India mein. Faltu log kuch bhi pentra lagate hai.,0,0,,Transliterated,
Will do so if  constitution says so not if any random rowdie attention seeking group asks it !,0,0,,Code-Mixed,Hinglish
"These fake nationalists and their undying unparalleled nonsense ambiguous unconstitutional nationalism, it's really really sick",0,0,,English,
Sala inlog ku maro re.....ya log hyderabad me aao beta hmlog bhi tmlog ku telugu bolne lagavge,0,0,,Transliterated,
Unity in diversity my ass.,0,0,,English,
Kal ko m bangal jaunga wo bolnge bangali bolo kya desh hai,0,0,,Transliterated,
"Why is government so numb infront of these goons?, is government for the goons or for the public.",0,0,,English,
"Getting worse everyday-fish rots from the head. Divide using religion, region, caste & gender and goal is conquer. The real haters are who arrogantly cling to identity and have nothing else.",0,0,,English,
Boycott bollywood,0,0,,English,
Maharashtra next Tamil Nadu,0,0,,English,
Rip for maharastra,1,2,Maharashtra,English,
Rip for andbaktt,0,0,,English,
Perfect answer,0,0,,English,
FALTU RAJ THACKREY KE CHAMCHE!!!,0,0,,Code-Mixed,Hinglish
Marathiyo ke pass koi kam nahi hai  Isliye bs marathi bolo dadagiri,0,0,,Transliterated,
Maybe no other news for news channels..Are people really dumb?? To let business and other inter related ventures suffer .just because of language???,0,0,,English,
Mumbai kisi ke baap ka thodi hai,0,0,,Transliterated,
Ye lootere the 18 century me. Aaj bhi yhi kar rhe,0,0,,Code-Mixed,Hinglish
Maharashtra next bangalore 😂😂😂,0,0,,English,
Tum Kerala jaoge kaam ke liye ya ghoomne ko to unki bhasha me bol paoge,0,0,,Transliterated,
THIS IS MY COUNTRY 😂,0,0,,English,
Many non maharashtrian are living since decades in Maharashtra since decades. No one ever such incidents. This is new and only one of its kind. Maharashtra and marathi are good.,0,0,,English,
These Marathis settle in Hyderabad and make zero effort to learn Telugu!! Ironic..,0,0,,English,
delhi best h...south and maharashtra are sick states... hindi is national language...what is wrong with these sick people....,1,2,"South-India, Maharashtra",English,
"donald trump messed up the whole world, life was so much better before him!",0,0,,English,
I'm Dracula I drink human blood 😂,0,0,,English,
Police bhi aap ki madad nahi kare gi case daal do ispar,0,0,,Code-Mixed,Hinglish
"Itna hi karna bacha hai, kyuki kaam dandha bacha hi nahi 2014 ki ajaadi ke baad. Aaj ke jamane mein issi ko naam diya gaya hai desh bhakti. Sare Bichare😢😢 waqt ke maare",0,0,,English,
"Yeah speak in Marathi or English aka international language.....we will do the same when we visit Hindi speaking states😂😂😂.   Don't want to respect our culture,language and rules then feel free to go back to where you came from.  In our land what we say is rule just like central government.",0,0,,English,
Very sad that this is happening in India today. Divisions and communal tensions has become more important than developing the country and lifting people out of proverty and ignorance.,0,0,,English,
U cannot force customers for this. Service providers maybe asked to provide services in local language,0,0,,English,
All this chaos brewed in Tamil Nadu and the ripples of the situation are disturbing the entire country.,0,0,,English,
Dunia 🌎 kaha se kaha pahoch gayi aur hum Bhaashavaad jativaad me hi ulje hue he sad reality of my india 😢😢😢,0,0,,Code-Mixed,Hinglish
This is india 👍,0,0,,English,
Language harrasment by marathi people,1,2,Maharashtra,English,
Illustrate people,0,0,,English,
Bhasha ke nam par itna gir chuke he ye log. Maharashtra ka patan najdik he,0,0,,Code-Mixed,Hinglish
Ek bhi marathi ko gujarat me nahi rehne denge agar dusre logo che aisa bartav karenge ye marathi log.,0,0,,Transliterated,
People coping with unemployment,0,0,,English,
Same thing’s happening in Bangalore. Forced to speak in Kannada,0,0,,English,
"Ye wahi log hai, jinhe english , jo ki ek foreign language hai, usse dikkat nahi hai. But hindi, jo bharat ki bhasha hai, usse dikkat hai.",0,0,,Code-Mixed,Hinglish
It's a courtesy to learn the local language and culture when moving there for business or pleasure....and also to connect with the local people... some people just too rigid,0,0,,English,
Mera desh Mahan!Mera desh age badh raha ya piche jaa raha nahi samajh aaraha!!.Politicians hatao madarchod Military rule lao isli maaka!Sabb theek ho jayega.,0,0,,Code-Mixed,Hinglish
Bhut bhdiya ab religion ke baad language ke pange. Diversity at its peak😂,0,0,,Code-Mixed,Hinglish
"this is completely shyt , why are we still stuck in this type of issues when we need to come together and make our country a better place ?",0,0,,English,
So much of nonsense going on  our  country for languages.    And then we celebrate RD and ID like nothing happened !!  Really  too much,0,0,,English,
"Keep fighting among ourself...woh din door nahi.. jab phir se slavery karni padegi...aise hi Portuguese, french, british ne humein skave banaya tha....hum bandar ladte rahenge aur koi billi aake Raaj kaegi!!",0,0,,Code-Mixed,Hinglish
"If your language and your culture is so fragjle, that even speaking a different language by someone else breaks it then I guess the problem is in your culture.",0,0,,English,
In Marathi taton ke liye Aurangzeb aur Angrej he sahi h..... Duniya 2025 mai agaye aur yeah adhivasi jamane mai je rhe. Translater leke ghummo bhai India mai abh😂😂,0,0,,Code-Mixed,Hinglish
Is desh ka kuch nhi ho skta hai sale mr jayenge lad ladkr language ke liye😡,0,0,,Transliterated,
Anyone from tamilnadu?,0,0,,English,
What's the obsession with Marathi's Forced speaking of their mother tongue for the people outside of Maharastra .The fundamental rights has just became a joke .These idiots are the real reason for the discrimination still exisisting in  India they are the real villans of the society as well as the terorists for the younger generations?🤬,1,2,,English,
First arrest the guy making video without permission,0,0,,English,
Correct you cannot make video  without permission. You speak your language n he speaks his POINT.,0,0,,English,
Kya matlab ki maharastra h to unka hi  languese bolna h jaruri nhi ki waisa hi ho sab ko to nahi aata na we should respect everyones culture languese   And colour,0,0,,Code-Mixed,Hinglish
Ye brutt india ko hamesha nicha dikhane Vali video hi promote karta he. India ki koi achi chiz kabhi nahi batata. Lagta he Europe ya US ka dalla he.,0,0,,Code-Mixed,Hinglish
Hindi national language hai kon hai ye haram ka jana. Jo hindi bolne se rok raha🤨,0,0,,Code-Mixed,Hinglish
Hitler rule is back in Maharashtra😢,0,0,,English,
Gujaratis are most welcoming . Sharing my personal experience. I have also stayed in Maharashtra and can speak marathi,1,1,Gujarati,English,
Good ..all people fight  on the basis of languages in their own country  . Good keep it up.,0,0,,English,
Joke of the country *Unity in diversity is the speciality of India*,0,0,,English,
Hence other countries are moving ahead they focus on learning new skills to make economy but we to kearn languages to survive in out iwn country ..Kamal.hai,0,0,,Code-Mixed,Hinglish
BJP HINDI POLICY WILL RUIN ALL LANGUAGES,0,0,,English,
This probably has nothing to do with language. They are most probably arguing about other matter. Then they decided to make it about language 😂😂,0,0,,English,
"I feel to avoid such situations I think it's better to make english and hindi as a common language for all Indian to communicate as in people like us who do not know Marathi or other people's mother tongue,  You can't expect them to speak in that Language.",0,0,,English,
Sad to see all this,0,0,,English,
I can't believe this.... Until now South Indian states are being forced to learn Hindi by the Central Government.... But now I see North Indian states itself have problem with this....😂😂😂😂  Fight fight fight 😂😂😂,0,0,,English,
"These are nothing but rascals and goons, in the name of language want to create divisions. All are bharatiya and we should respect each others uniqueness🙂🇮🇳🙏",0,0,,English,
They have good in english which is not our country language but they are problem with our marathi which is country originated language  😅😅😅,0,0,,English,
That's why they're Indians...,0,0,,English,
"India was never an country its just an random small kingdoms,  for 70 yrs we are trying to unit.",0,0,,English,
Maharashtra is getting worst,1,3,Maharashtra,English,
Only Hindus create ruckus like this. I’m so ashamed.,0,0,,English,
"Shame and pity man where language comes as a barrier,",0,0,,English,
"Silly futile people, everyone in the world having ai and all .we stopped evolving after ,caste , religion, language",0,0,,English,
Totally undemocratic and uncivilized,0,0,,English,
Moorakh log  anpar abhi vi 100 sal piche,0,0,,Code-Mixed,Hinglish
Plain harassment!!! Language is a means of communicating. The very essence is being destroyed and causing divide.,0,0,,English,
Accepting something & Forcing to accept Something are two different things !   Cameraman is totally wrong here !,0,0,,English,
this an attempt by anti-Indian forcesband terror journalists to divide country on the basis of caste and languages.. They r wooried now that hindus across india united to check terrorist parites..,0,0,,English,
"Am njying foolish ppl fights from past 10+ years in my country, such a wounderfull topics to pic up for fights😂🤣",0,0,,English,
BJP : mission accomplished,0,0,,English,
Peak Unemployment..,0,0,,English,
India going back in stone age 😂😂😂😂😂😂 keep it e,0,0,,English,
"I'm surprised by this comment section. If I'm going to work in another state, i should learn their local language. Even though i can manage a  bit with English within atleast few years i will learn their language. Every state has it's own language (many sometimes) and it's own culture and traditions. Learn their language if you wanna live in their land. Don't expect them to learn your language so you can live comfortably.",0,0,,English,
"Hindus beware....These things are being done ny anti nationalists to divide Hindus.... Please we are Hindus first.. no caste, no language... Have you ever seen a tamil muslim harassing a  UP muslim for language.. they even stand in solidarity with Gaza Muslims... Hindus please remain United...",0,0,,English,
"Ab ye naya drama agaye India me, idiot ruler and their followers are ruining India. Third class country’s mentality..",0,0,,Code-Mixed,Hinglish
You cannot forcibly ask people to speak in a language which they cannot speak.,0,0,,English,
These are the same people they claim to be on the same level as China! 🇨🇳 😂😂😂,0,0,,English,
Bjp now facing the consequences,0,0,,English,
"If you force Hindi on others, you will be forced not to speak it.",0,0,,English,
Not necessary to speak Marathi in maharashtra 🎉🎉,0,0,,English,
Faltu giri karke rakhe hai yaar sahi me ...kya hai ye sab,0,0,,Code-Mixed,Hinglish
"1st Tamils, 2nd Kannada ppl, now Maratas... Wow Inida progressing...",0,0,,English,
Vallabhbhai Patel would be proud.,0,0,,English,
Mera Desh badal raha hai.. aise hi desh tukde tukde mein divide ho jaega .. bekaar k chizo mein log involve hain,0,0,,Code-Mixed,Hinglish
Let the people speak what they want man ..,0,0,,English,
"Aur karo hindu musalman now language,bloody fanatics",0,0,,English,
India: what a shameful people here. 0% civics.,0,0,,English,
"If wants to buy something from shop,the owner understands hindi then ok but if owner don't understand hindi,he will learn marathi by himself. You can't force someone like that,this is your intention.",0,0,,English,
All because of Dumils 😂,0,0,,English,
when northies starts to  get educate   🎉🎉🎉  keep it up,0,0,,English,
Even maharashtrians dont speak marathi why should anyone else,0,0,,English,
What is happening to this country,0,0,,English,
Politics thrive in chaos,0,0,,English,
"Indian supreme court agar justice nhi deya  toh ham northeast nhi rehega  , hamara khud ka country ham banayenge",0,0,,Code-Mixed,Hinglish
We want justice for Anjel chakma,0,0,,English,
"Indians are the second most corrupt, selfish, heinous,in the world.",0,0,,English,
Am india I hate india because control BJP attack or Ram Krishna hit for my people,0,0,,English,
STAB TO EACH OTHER BETWEEN OUR OWN STATE COUNTRY INDIAN  MAN.,0,0,,English,
WHY NOT POLICE REFUSED TO FILE AN  F.I.R.  AFTER  3  THREE OUR WHY THEY LODGES  F.I.R.  NE INDIA ARE NOT SAFE IN MAIN LAND OUR OWN COUNTRY.  NAGALAND STATE NE INDIA.,0,0,,English,
India becomes new bangladesh,0,0,,English,
TODAY IS YOUR DAY.  NE INDIA.,0,0,,English,
Indian doesn't have civic sense at all  Justice for Angel chakma😢!!,0,0,,English,
Shameless gawar uneducated illiterate increase day by day in India such a shame 👎 india are full of shit now adays...if a Leader is uneducated it's happen lik this only all faild...shame on u modi...,0,0,,English,
"If you don't want us NORTH EAST citizens, then free us from India. Please",0,0,,English,
Must need to take Revenge,0,0,,English,
"All these Incendients, was happening of godi media 📺spread hates and some political current leaders spread hates in public big shame arrest 🚨 ist godi media 📺 personnels and then uneducated polticans who spread hates divide ➗ and rule policy",0,0,,English,
Bjp government,0,0,,English,
Many refuge r here in India refuge hate indian people refuge luf crime. Modiji plz save indigenous people refuge ko remove karo I'm from manipur meitei hindu,0,0,,English,
chutye Indians ek dusre ko mar rahe hai bjp hoga to aise he hoga 😂,0,0,,Transliterated,
Let's separate ourselves open borders so that the real Chinese can infiltrate and give this country a nightmare,0,0,,English,
Democracy is becoming meaningless under BJP.India must throw away BJP to bring back  Democracy.,0,0,,English,
Bjp policy,0,0,,English,
We want justice  hang to death,0,0,,English,
Proud to be a bangali,0,0,,English,
Mummy ne kaha hai ki bangali or bihari se dur rehna hai😂😂,0,0,,English,
I am from odisha and i am sure they do not do that  !!,0,0,,English,
This is too much about bengali people  😡😡,0,0,,English,
Me too Bengali,0,0,,English,
As a bihari I confirm we don't do that,0,0,,English,
"As a bihari, it's TRUEEEEEE",0,0,,English,
Bangali is fire always,0,0,,English,
Up is the best🎉❤😊,0,0,,English,
What rubbish!!!,0,0,,English,
Stop spreading such things on social media. Bihar doesn’t always mean that they would have a gun in their pocket and Bengal doesn’t mean that every other Bengali would be into black magic and voodoo! It is because of such stereotypes that you people create that the rest of India thinks that every Bong is always doing black magic.,0,0,,English,
I don't like Bihari 😢😢.. why they are so sweet from outside but extremely horrible in reality,1,2,,English,
"I from JHARKHAND .... NORTH Indian Peoples are biggest ,Dirty minded,,dirty criminal minded ,, Barbarous,,fool ,,Peoples in the World..../// NORTH Indian dirty minded Politicians are never given respect to Our East, Northeast and South....of their Culture,and Languages...//Already they dirty minded Nirbhaya Rapist minded , Politicians...has divided to our Country.....// RSS BRAHMIN... Foreigners of Nirbhaya Rapist minded are Biggest vilan of INDIA../ NORTH Indian ..Fool , Barbarous peoples are Slave of Foreigners dirty minded RSS BRAHMIN... world no 1 dirty minded...RSS BRAHMIN...in North INDIA.../ RSS BRAHMIN Foreigners are playing a game of making Slave -Slave ..// Go Hell Nirbhaya Rapist.. Slave North Indian.../",1,3,North-India,English,
ᴩᴀʜᴀʀɪ ʜɪᴍᴀᴄʜᴀʟ ᴄᴜʀᴛ ᴜʀᴀʟ  ᴅᴀɴᴄᴇ,0,0,,Code-Mixed,Hinglish
I am from Kerala,0,0,,English,
Where there is discrimination there is no development,0,0,,English,
"Okay Listen to me I'm basically born in Delhi so a north indian but all of my parents and family are from south india (kerala) and I studied in delhi till 10th and rn in kerala where I i'm in 12th standard. All I'm saying when I was in delhi they called me ""madrasi"" and when I'm here they call me ""bengali""....... Its real both of them are reckless I'm not saying everyone but these people mock each other but they are not getting that all of us are called indians!. NOW THERE ARE PEOPLE IN BOTH REGIONS WHO LOVES AND RESPECT BOTH CULTURE AND PEOPLE .",0,0,,English,
"If any North Indian call mi tu kala he one thing i have to say see druve rathee unka grandfather welcome Britishers in to his house ,but our grandfather don't allow them and fight them great, that's why dhruve rathee white.😂😂😂😂",0,0,,English,
"We are west indians🇮🇳 People fom MH , GJ, GOA  second highly developed regions in india",0,0,,English,
Informative subject 🙌🏻,0,0,,English,
Basically North Indians are illiterate.,1,2,North-India,English,
South Indian 🔥🔥🔥,0,0,,English,
Meanwhile Gujarat and Maharashtra laughing in the corner 😂😂 for being most developed.,0,0,,English,
"Being a Gujarati,  Gujarat is the safest place for women. And its hospitality is the best..",1,1,Gujarat,English,
"I'm from Bangalore we have a lot of north Indian's staying here because they don't have much  jobs openings, they come here and make fun of South Indian's make fun of their food...they actually are a nuisance here fighting with landlords - if it's so difficult for them they should not be here. I don't think we can make any change.",1,2,North-India,English,
Google ceo Sundar also in south india Chennai,0,0,,English,
"Well explained. South India is more natural, organic and safe. But why South Indians move to Western world??",1,1,South-India,English,
South people are polite and cool 🥰..  North is worst.. Specifically hindi heart land Love From Kolkata,1,2,"North-India, South-India",English,
North me andh bhakhti jiyada hai,1,2,North-India,Code-Mixed,Hinglish
"I feel mostly north Indians go by looks and south Indians go by behavior and brains. My personal experience is north Indians treat south Indians lowly because of colour and height. They don't even know how many states are in south India but most of the south Indian students knew not only all the states of India but also their capitals culture. Obviously south Indians used to study in depth but most of the north Indian students were kind of jugadus(doing the job temporarily or superficially). But now everyone is knowing everything across the globe because of technology and social media. And most importantly south Indians don't follow west easily, will follow only if it's required and genuine.",1,2,"North-India, South-India",English,
For we South Indians every states above South India is north india,1,1,North-India,English,
northindia totally spoiled by narrowminded politicians  stealing all taxmoney depositing in remote foreignbanks silently doing for last 40 years,1,2,North-India,English,
Dont split our India there is no south north one India 🙏,0,0,,English,
Plz Don't divide INDIANS into South and North. I'm from telangana but We are all INDIANS and we are living for our mother country to save the next generation,0,0,,English,
South Indians should know which part is North India.... First. I'm  from Odisha and when I went to Chennai they behaved in the worst way possible. I got to know that ODISHA is in north India 🤣 They just simply hate all other states other than their so-called South Indian ones.... There is no such moral education in them that u r talking about. They don't love India...they love themselves....,1,3,South-India,English,
Meanwhile south India paying taxes and north india benefitting those taxes .....  My suggestion is to divide india,1,2,"South-India, North-India",English,
If india is divided then North India becomes North Korea and South India becomes South Korea,1,2,"South-India, North-India",English,
"South Indian invest only in real estate, gold & wear silk...  North Indians like more fancy & bollywood fashion",1,1,"South-India, North-India",English,
"Food is much better in south India. Less use of refined ingredients like maida, mostly dal & rice is used... While North Indian samosa or sheermal or naan or kulcha or bhatura - all maida",1,2,"South-India, North-India",Code-Mixed,Hinglish
"North Indians ko gutka kha kr har kahi thukna aata hai koi jagah nhi chhodte chahe wo bus ho, metro ho ya work place ho bs gandgi  karna aata h. . Or religion ko le kr ladte rehte h or iska fayda politicians utate h..",1,2,North-India,Code-Mixed,Hinglish
"Everybody knows North Indian are very very racist ,, we hate north indian people 🖕🤬🤬",1,3,North-India,English,
South Indian is like Singapore for North Indian labour peoples...they come here do all kinds of labour jobs earns well and feed their family well in North Indian which is struggling for job and security their,1,2,"South-India, North-India",English,
Most chutiyas reside in North and East India 😆😆😆  South and North east Indians are Good,1,2,"North-India, East-India",English,
most of the north indians r rude & assholes,1,3,North-India,English,
Your guts are superb Mr. Thilakdhaari,0,0,,English,
10:16 I'm a byari 😀,0,0,,English,
Great video,0,0,,English,
If what you're saying is true then why people from South states come to our states for Jobs and higher education....?,0,0,,English,
Becoz we don't fight over religion,0,0,,English,
chagaz khan is not a Muslim ruler,0,0,,English,
Because more christians in south india 😍,0,0,,English,
Too advantage disturb,0,0,,English,
what about the chola history,0,0,,English,
One wrong information by dhruv today that is Karnataka me jds political party hai jdu nai,0,0,,English,
Where is goa ?,0,0,,English,
"Bro first learn the pronounsation of places and rulers of South India and then make video , don't get.roasted",0,0,,English,
Hyderabadi,0,0,,English,
Changez khan is not a Muslim,0,0,,English,
I am from u.p ................................... fill in the blank,0,0,,English,
Nice analysis man,0,0,,English,
BIMARU राज्य BI - बिहार M - मध्य प्रदेश R - राजस्थान U - यूपी,1,2,"Bihar, Madhya Pradesh, Rajasthan, Uttar Pradehs",Transliterated,
North Indians are pieces of shit,1,3,North-India,English,
Most south people are rice bag converted 🍚💰,1,2,South-India,English,
Yeah! South parts are more civilized then others,1,1,South-India,English,
Kerala 👍👍,0,0,,English,
Education is more important  It will everything Women education is must and should,0,0,,English,
Great effort 👌,0,0,,English,
"There is no north India , there is no south India.. There is one and only one, Republic of India.....🇮🇳🇮🇳",0,0,,English,
Kerala has also problem like high unemployment rate and lower economy.,1,2,,English,
South Indian🇮🇳 is the best place to live ✌❣️❣️❣️❣️,1,1,South-India,English,
Well explained bro..... got more info on many things,0,0,,English,
East vs West India,0,0,,English,
Thank you,0,0,,English,
Hope oneday you will go beyond north south and consider east as a distinct culture and cover them as well,0,0,,English,
i am a north indian but i live in south india,0,0,,English,
"@dhruv rathee it's northern and southern India 🙏 kindly correct it from your Stanford chai wala University, jamalpur",0,0,,English,
"Education, education, education LOL",0,0,,English,
South Indians well educated 💯 true,1,1,South-India,English,
Marathi logon pe apana swarth mat sadho janata bevakhub nahi rahi ab,1,2,Maharashtra,Transliterated,
Marathi ki maa bhihyn chod do  bhyijo MP me🔪🔪🔪🔪🔪🌶️🌶️🌶️,1,3,Maharashtra,Transliterated,
Ye maharashtra k kutte kewal maharashtra me hi bol sakte hai inki aukat nhi .....kahi aur bolne ki,1,3,Maharashtra,Transliterated,
Delhi tum kya teaching doge salo pura delhi repist he choti choti bacchiyo ko bhi nahi chodte delhi wale,1,3,Delhi ,Code-Mixed,Hinglish
Isliye ye logon ka rajya bhuka nanga hai itne salon se😂... Tum bihari sab sirf panipuri bechne ke layak ho Idhar aao hi mat thela lagane.... Bache kuche pani pudi wale hai unko bhi leke jao chatri ka dudh pine😂😂😂😂😂😂😂,1,3,Bihar,Code-Mixed,Hinglish
हमारी यूपी में हर भाषा का सम्मान होता है यह मराठी और तमिल वाले कभी नहीं सुधरेंगे इनका आइना दिखाना पड़ेगा,1,2,"Maharashtra, Tamil Nadu",Transliterated,
Ye maratha ka itihas pahele se accha nahi he Kyo ki jab Mughalo kamjor ho chuke the tab ye log peda huve the Aurangzeb ki jane ke baad ye log power me aaye the or ye ese log he jinhone hinduo or hindu dharm ke mandir lootne me koi kasar chhodi nahi thi lootmar karne wale log the or aaj ye raj thakre etc etc he koi fark nahi he azadi se pehle or azadi ke baad ke maratha me ok bhai Jai mataji from Gujarat,1,2,Maharashtra,Transliterated,
Delhi walo se rape ki tution hi de sakte hai,1,3,Delhi ,Code-Mixed,Hinglish
Mai hyderabad se ho mai agree karta hoon Maharashtra mai bohut gundagardi hai ..hamare yaha bohut saare marati log hai par hum log inko kuch nai karte ..or hum jabbe travel karte hai or maharashtra lagta tabhi hum ready hojate hai gundo se muqabla karne ...janwar hai marathi..,1,3,Maharashtra,Transliterated,
"Aabe chutiye,bachche paida karane ki coaching doge biharwaleet?tum log yaha Maharashtra me kaam karane aate ho ,aur vaha tumhe bachche ho jate hai,, 😅",1,3,Bihar,Code-Mixed,Hinglish
"Isliye marathi jaruri hai, pehle apni bhasha sudharo baccha paida karne ki coaching udhar hi karo bihariyon kyuu ate ho maharashtra me tumhari bhashe se tum kitne ghatiya ho dikhta he idhar ake ghatiyagiri failane ki jarurat nahi hai",1,3,Bihar,Code-Mixed,Hinglish
Up bihar ko bhikari kisane banaye bhikarchot,1,3,"Bihar, Uttar Pradesh",Transliterated,
Even my own bihari friends agree to this they lack civics sense and mannerism 😂 very few good people and some of them are my friends staying in assam😂,1,2,Bihar,Code-Mixed,Hinglish
whi toh mahrashtra is a soverign state aur bihar ek poor sluggish country h,1,2,Bihar,Code-Mixed,Hinglish
"Jharkhand se log palayan nahin karte yahaan log jaise bhi hai yahin rehte hain bihar se special log palayan karte hain raj thakrey ko yeh pata hona chahiye inko lagta hai bihar aur Jharkhand ek hi hai dono mein bahut antar hai Jharkhand mein bhojpuri nahin chalti hai yahaan nagpuri, santhali, mundari, kurukh, khortha jaisi bhaasa chalti hai😊😊😊😊😊",0,0,,Code-Mixed,Hinglish
beggars can't be choosers,0,0,,English,
